Community #,City Area,Community,Neighborhood
8,Central,Near North Side,Cabrini-Green
8,Central,Near North Side,The Gold Coast
8,Central,Near North Side,Goose Island
8,Central,Near North Side,Magnificent Mile
8,Central,Near North Side,Old Town
8,Central,Near North Side,River North
8,Central,Near North Side,River West
8,Central,Near North Side,Streeterville
32,Central,Loop,Loop
32,Central,Loop,New Eastside
32,Central,Loop,South Loop
32,Central,Loop,West Loop Gate
33,Central,Near South Side,Dearborn Park
33,Central,Near South Side,Printer's Row
33,Central,Near South Side,South Loop
33,Central,Near South Side,Prairie Avenue Historic District
5,North Side,North Center,Horner Park
5,North Side,North Center,Roscoe Village
6,North Side,Lakeview,Boystown
6,North Side,Lakeview,Lake View East
6,North Side,Lakeview,Graceland West
6,North Side,Lakeview,Southeast Ravenswood
6,North Side,Lakeview,Wrigleyville
7,North Side,Lincoln Park,Old Town Triangle
7,North Side,Lincoln Park,Park West
7,North Side,Lincoln Park,Ranch Triangle
7,North Side,Lincoln Park,Sheffield Neighbors
7,North Side,Lincoln Park,Wrightwood Neighbors
21,North Side,Avondale,Belmont Gardens
21,North Side,Avondale,Chicago's Polish Village
21,North Side,Avondale,Kosciuszko Park
22,North Side,Logan Square,Belmont Gardens
22,North Side,Logan Square,Bucktown
22,North Side,Logan Square,Kosciuszko Park
22,North Side,Logan Square,Palmer Square
1,Far North Side,Rogers Park,East Roger's Park
2,Far North Side,West Ridge,Arcadia Terrace
2,Far North Side,West Ridge,Peterson Park
2,Far North Side,West Ridge,West Rogers Park
3,Far North Side,Uptown,Buena Park
3,Far North Side,Uptown,Argyle Street
3,Far North Side,Uptown,Margate Park
3,Far North Side,Uptown,Sheridan Park
4,Far North Side,Lincoln Square,Ravenswood
4,Far North Side,Lincoln Square,Ravenswood Gardens
4,Far North Side,Lincoln Square,Rockwell Crossing
9,Far North Side,Edison Park,Edison Park
10,Far North Side,Norwood Park,Big Oaks
10,Far North Side,Norwood Park,Old Norwood Park
10,Far North Side,Norwood Park,Oriole Park
10,Far North Side,Norwood Park,Union Ridge
11,Far North Side,Jefferson Park,Gladstone Park
12,Far North Side,Forest Glen,Edgebrook
12,Far North Side,Forest Glen,Old Edgebrook
12,Far North Side,Forest Glen,South Edgebrook
12,Far North Side,Forest Glen,Sauganash
12,Far North Side,Forest Glen,Wildwood
13,Far North Side,North Park,Brynford Park
13,Far North Side,North Park,Hollywood Park
13,Far North Side,North Park,River's Edge
13,Far North Side,North Park,Sauganash Woods
14,Far North Side,Albany Park,Mayfair
14,Far North Side,Albany Park,North Mayfair
14,Far North Side,Albany Park,Ravenswood Manor
76,Far North Side,O'Hare,Schorsch Forest View
77,Far North Side,Edgewater,Andersonville
77,Far North Side,Edgewater,Edgewater Glen
77,Far North Side,Edgewater,Edgewater Beach
77,Far North Side,Edgewater,Magnolia Glen
77,Far North Side,Edgewater,Lakewood/Balmoral
